FROMDATE,TODATE,DAYPART,CHANNEL,PIVOT_SEQ,PIVOT_HDR1,PIVOT_DATA1
9/7/2014,9/13/2014,DayPart 1,Star Plus,11,DayPart 3:SONY ENTERTAINMENT TV,5243
9/7/2014,9/13/2014,DayPart 1,Star Plus,12,DayPart 3:Colors Viacom18,12675
9/7/2014,9/13/2014,DayPart 1,Star Plus,13,DayPart 4:Z Zee TV,14100
9/7/2014,9/13/2014,DayPart 1,Star Plus,14,DayPart 4:Star Plus,13777
9/7/2014,9/13/2014,DayPart 1,Star Plus,15,DayPart 4:SONY ENTERTAINMENT TV,7311
9/7/2014,9/13/2014,DayPart 1,Star Plus,16,DayPart 4:Colors Viacom18,9528
9/7/2014,9/13/2014,DayPart 1,Star Plus,17,DayPart 5:Z Zee TV,13194
9/7/2014,9/13/2014,DayPart 1,Star Plus,18,DayPart 5:Star Plus,17262
9/7/2014,9/13/2014,DayPart 1,Star Plus,19,DayPart 5:SONY ENTERTAINMENT TV,8241
9/7/2014,9/13/2014,DayPart 1,Star Plus,20,DayPart 5:Colors Viacom18,8484
9/7/2014,9/13/2014,DayPart 1,Star Plus,21,DayPart 6:Z Zee TV,11767
9/7/2014,9/13/2014,DayPart 1,Star Plus,22,DayPart 6:Star Plus,15992
9/7/2014,9/13/2014,DayPart 1,Star Plus,23,DayPart 6:SONY ENTERTAINMENT TV,6255
9/7/2014,9/13/2014,DayPart 1,Star Plus,24,DayPart 6:Colors Viacom18,6305
9/7/2014,9/13/2014,DayPart 1,Star Plus,25,DayPart 7:Z Zee TV,7968
9/7/2014,9/13/2014,DayPart 1,Star Plus,26,DayPart 7:Star Plus,12801
9/7/2014,9/13/2014,DayPart 1,Star Plus,27,DayPart 7:SONY ENTERTAINMENT TV,4921
9/7/2014,9/13/2014,DayPart 1,Star Plus,28,DayPart 7:Colors Viacom18,6705
9/7/2014,9/13/2014,DayPart 1,Star Plus,29,DayPart 8:Z Zee TV,6788
9/7/2014,9/13/2014,DayPart 1,Star Plus,30,DayPart 8:Star Plus,10517
9/7/2014,9/13/2014,DayPart 1,Star Plus,31,DayPart 8:SONY ENTERTAINMENT TV,4040
9/7/2014,9/13/2014,DayPart 1,Star Plus,32,DayPart 8:Colors Viacom18,6101
9/7/2014,9/13/2014,DayPart 1,Star Plus,33,DayPart 9:Z Zee TV,4040
9/7/2014,9/13/2014,DayPart 1,Star Plus,34,DayPart 9:Star Plus,9968
9/7/2014,9/13/2014,DayPart 1,Star Plus,35,DayPart 9:SONY ENTERTAINMENT TV,2746
9/7/2014,9/13/2014,DayPart 1,Star Plus,36,DayPart 9:Colors Viacom18,3507
9/7/2014,9/13/2014,DayPart 1,Star Plus,37,DayPart 10:Z Zee TV,2435
9/7/2014,9/13/2014,DayPart 1,Star Plus,38,DayPart 10:Star Plus,6538
9/7/2014,9/13/2014,DayPart 1,Star Plus,39,DayPart 10:SONY ENTERTAINMENT TV,1461
9/7/2014,9/13/2014,DayPart 1,Star Plus,40,DayPart 10:Colors Viacom18,1681
9/7/2014,9/13/2014,DayPart 1,Star Plus,41,DayPart 11:Z Zee TV,59
9/7/2014,9/13/2014,DayPart 1,Star Plus,42,DayPart 11:Star Plus,122
9/7/2014,9/13/2014,DayPart 1,Star Plus,43,DayPart 11:SONY ENTERTAINMENT TV,10
9/7/2014,9/13/2014,DayPart 1,Star Plus,44,DayPart 11:Colors Viacom18,10
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,1,DayPart 1:Z Zee TV,1909
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,2,DayPart 1:Star Plus,3727
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,3,DayPart 1:SONY ENTERTAINMENT TV,9659
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,4,DayPart 1:Colors Viacom18,2140
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,5,DayPart 2:Z Zee TV,2293
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,6,DayPart 2:Star Plus,3677
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,7,DayPart 2:SONY ENTERTAINMENT TV,5505
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,8,DayPart 2:Colors Viacom18,2892
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,9,DayPart 3:Z Zee TV,2679
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,10,DayPart 3:Star Plus,2548
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,11,DayPart 3:SONY ENTERTAINMENT TV,4011
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,12,DayPart 3:Colors Viacom18,2478
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,13,DayPart 4:Z Zee TV,2647
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,14,DayPart 4:Star Plus,2005
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,15,DayPart 4:SONY ENTERTAINMENT TV,3036
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,16,DayPart 4:Colors Viacom18,1964
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,17,DayPart 5:Z Zee TV,2263
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,18,DayPart 5:Star Plus,2733
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,19,DayPart 5:SONY ENTERTAINMENT TV,2938
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,20,DayPart 5:Colors Viacom18,1546
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,21,DayPart 6:Z Zee TV,2135
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,22,DayPart 6:Star Plus,2657
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,23,DayPart 6:SONY ENTERTAINMENT TV,2351
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,24,DayPart 6:Colors Viacom18,1360
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,25,DayPart 7:Z Zee TV,1462
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,26,DayPart 7:Star Plus,1831
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,27,DayPart 7:SONY ENTERTAINMENT TV,2347
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,28,DayPart 7:Colors Viacom18,1089
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,29,DayPart 8:Z Zee TV,1121
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,30,DayPart 8:Star Plus,1487
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,31,DayPart 8:SONY ENTERTAINMENT TV,2016
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,32,DayPart 8:Colors Viacom18,998
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,33,DayPart 9:Z Zee TV,712
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,34,DayPart 9:Star Plus,1211
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,35,DayPart 9:SONY ENTERTAINMENT TV,1479
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,36,DayPart 9:Colors Viacom18,640
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,37,DayPart 10:Z Zee TV,437
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,38,DayPart 10:Star Plus,758
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,39,DayPart 10:SONY ENTERTAINMENT TV,704
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,40,DayPart 10:Colors Viacom18,364
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,41,DayPart 11:Z Zee TV,7
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,42,DayPart 11:Star Plus,0
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,43,DayPart 11:SONY ENTERTAINMENT TV,0
9/7/2014,9/13/2014,DayPart 1,SONY ENTERTAINMENT TV,44,DayPart 11:Colors Viacom18,0
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,1,DayPart 1:Z Zee TV,6035
