FROMDATE,TODATE,DAYPART,NUM_CHANNEL_KEY,DAYPART1,NUM_CHANNEL_KEY1,REACH
20140907,20140913,1,242,4,316,14100
20140907,20140913,1,242,4,242,13777
20140907,20140913,1,242,4,230,7311
20140907,20140913,1,242,4,46,9528
20140907,20140913,1,242,5,316,13194
20140907,20140913,1,242,5,242,17262
20140907,20140913,1,242,5,230,8241
20140907,20140913,1,242,5,46,8484
20140907,20140913,1,242,6,316,11767
20140907,20140913,1,242,6,242,15992
20140907,20140913,1,242,6,230,6255
20140907,20140913,1,242,6,46,6305
20140907,20140913,1,242,7,316,7968
20140907,20140913,1,242,7,242,12801
20140907,20140913,1,242,7,230,4921
20140907,20140913,1,242,7,46,6705
20140907,20140913,1,242,8,316,6788
20140907,20140913,1,242,8,242,10517
20140907,20140913,1,242,8,230,4040
20140907,20140913,1,242,8,46,6101
20140907,20140913,1,242,9,316,4040
20140907,20140913,1,242,9,242,9968
20140907,20140913,1,242,9,230,2746
20140907,20140913,1,242,9,46,3507
20140907,20140913,1,242,10,316,2435
20140907,20140913,1,242,10,242,6538
20140907,20140913,1,242,10,230,1461
20140907,20140913,1,242,10,46,1681
20140907,20140913,1,242,11,316,59
20140907,20140913,1,242,11,242,122
20140907,20140913,1,242,11,230,10
20140907,20140913,1,242,11,46,10
20140907,20140913,1,230,1,316,1909
20140907,20140913,1,230,1,242,3727
20140907,20140913,1,230,1,230,9659
20140907,20140913,1,230,1,46,2140
20140907,20140913,1,230,2,316,2293
20140907,20140913,1,230,2,242,3677
20140907,20140913,1,230,2,230,5505
20140907,20140913,1,230,2,46,2892
20140907,20140913,1,230,3,316,2679
20140907,20140913,1,230,3,242,2548
20140907,20140913,1,230,3,230,4011
20140907,20140913,1,230,3,46,2478
20140907,20140913,1,230,4,316,2647
20140907,20140913,1,230,4,242,2005
20140907,20140913,1,230,4,230,3036
20140907,20140913,1,230,4,46,1964
20140907,20140913,1,230,5,316,2263
20140907,20140913,1,230,5,242,2733
20140907,20140913,1,230,5,230,2938
20140907,20140913,1,230,5,46,1546
20140907,20140913,1,230,6,316,2135
20140907,20140913,1,230,6,242,2657
20140907,20140913,1,230,6,230,2351
20140907,20140913,1,230,6,46,1360
20140907,20140913,1,230,7,316,1462
20140907,20140913,1,230,7,242,1831
20140907,20140913,1,230,7,230,2347
20140907,20140913,1,230,7,46,1089
20140907,20140913,1,230,8,316,1121
20140907,20140913,1,230,8,242,1487
20140907,20140913,1,230,8,230,2016
20140907,20140913,1,230,8,46,998
20140907,20140913,1,230,9,316,712
20140907,20140913,1,230,9,242,1211
20140907,20140913,1,230,9,230,1479
20140907,20140913,1,230,9,46,640
20140907,20140913,1,230,10,316,437
20140907,20140913,1,230,10,242,758
20140907,20140913,1,230,10,230,704
20140907,20140913,1,230,10,46,364
20140907,20140913,1,230,11,316,7
20140907,20140913,1,230,11,242,0
20140907,20140913,1,230,11,230,0
20140907,20140913,1,230,11,46,0
20140907,20140913,1,46,1,316,6035
20140907,20140913,1,46,1,242,9179
20140907,20140913,1,46,1,230,2140
20140907,20140913,1,46,1,46,18828
20140907,20140913,1,46,2,316,6112
20140907,20140913,1,46,2,242,7936
20140907,20140913,1,46,2,230,2149
20140907,20140913,1,46,2,46,12944
20140907,20140913,1,46,3,316,6912
20140907,20140913,1,46,3,242,5542
20140907,20140913,1,46,3,230,2899
20140907,20140913,1,46,3,46,11142
20140907,20140913,1,46,4,316,7337
20140907,20140913,1,46,4,242,5195
20140907,20140913,1,46,4,230,4165
20140907,20140913,1,46,4,46,8220
20140907,20140913,1,46,5,316,6755
20140907,20140913,1,46,5,242,6406
20140907,20140913,1,46,5,230,4946
20140907,20140913,1,46,5,46,7505
20140907,20140913,1,46,6,316,5995
20140907,20140913,1,46,6,242,5780
20140907,20140913,1,46,6,230,3655
20140907,20140913,1,46,6,46,6084
20140907,20140913,1,46,7,316,4113
20140907,20140913,1,46,7,242,4614
20140907,20140913,1,46,7,230,3198
20140907,20140913,1,46,7,46,6134
20140907,20140913,1,46,8,316,3600
20140907,20140913,1,46,8,242,3803
20140907,20140913,1,46,8,230,2650
20140907,20140913,1,46,8,46,5538
20140907,20140913,1,46,9,316,2357
20140907,20140913,1,46,9,242,3855
20140907,20140913,1,46,9,230,2252
20140907,20140913,1,46,9,46,3321
20140907,20140913,1,46,10,316,1622
20140907,20140913,1,46,10,242,2435
20140907,20140913,1,46,10,230,1243
20140907,20140913,1,46,10,46,1664
20140907,20140913,1,46,11,316,55
20140907,20140913,1,46,11,242,22
20140907,20140913,1,46,11,230,16
20140907,20140913,1,46,11,46,7
20140907,20140913,2,316,1,316,12032
20140907,20140913,2,316,1,242,11835
20140907,20140913,2,316,1,230,2293
20140907,20140913,2,316,1,46,6112
20140907,20140913,2,316,2,316,25154
20140907,20140913,2,316,2,242,11843
20140907,20140913,2,316,2,230,2730
20140907,20140913,2,316,2,46,8739
20140907,20140913,2,316,3,316,19113
20140907,20140913,2,316,3,242,8223
20140907,20140913,2,316,3,230,3714
20140907,20140913,2,316,3,46,7747
20140907,20140913,2,316,4,316,18351
20140907,20140913,2,316,4,242,7489
20140907,20140913,2,316,4,230,5001
20140907,20140913,2,316,4,46,5881
20140907,20140913,2,316,5,316,15494
20140907,20140913,2,316,5,242,9142
20140907,20140913,2,316,5,230,6057
20140907,20140913,2,316,5,46,5579
20140907,20140913,2,316,6,316,13431
20140907,20140913,2,316,6,242,7806
20140907,20140913,2,316,6,230,3921
20140907,20140913,2,316,6,46,4509
20140907,20140913,2,316,7,316,9547
20140907,20140913,2,316,7,242,6261
20140907,20140913,2,316,7,230,3647
20140907,20140913,2,316,7,46,4191
20140907,20140913,2,316,8,316,7990
20140907,20140913,2,316,8,242,4893
20140907,20140913,2,316,8,230,2998
20140907,20140913,2,316,8,46,3703
20140907,20140913,2,316,9,316,4839
20140907,20140913,2,316,9,242,5169
20140907,20140913,2,316,9,230,2361
20140907,20140913,2,316,9,46,2247
20140907,20140913,2,316,10,316,2930
20140907,20140913,2,316,10,242,3560
20140907,20140913,2,316,10,230,1242
20140907,20140913,2,316,10,46,1302
20140907,20140913,2,316,11,316,28
20140907,20140913,2,316,11,242,34
20140907,20140913,2,316,11,230,5
20140907,20140913,2,316,11,46,0
20140907,20140913,2,242,1,316,8355
20140907,20140913,2,242,1,242,28713
20140907,20140913,2,242,1,230,3677
20140907,20140913,2,242,1,46,7936
20140907,20140913,2,242,2,316,11843
20140907,20140913,2,242,2,242,35631
20140907,20140913,2,242,2,230,4481
20140907,20140913,2,242,2,46,13983
20140907,20140913,2,242,3,316,13048
20140907,20140913,2,242,3,242,17550
20140907,20140913,2,242,3,230,5294
20140907,20140913,2,242,3,46,12165
20140907,20140913,2,242,4,316,13770
20140907,20140913,2,242,4,242,15414
20140907,20140913,2,242,4,230,7400
20140907,20140913,2,242,4,46,9225
20140907,20140913,2,242,5,316,12849
20140907,20140913,2,242,5,242,17488
20140907,20140913,2,242,5,230,8202
20140907,20140913,2,242,5,46,8241
20140907,20140913,2,242,6,316,11418
