NUM_MARKET_KEY,CHV_MARKET_NAME,NUM_START_DATE_KEY,NUM_END_DATE_KEY,NUM_WEEK,NUM_V_CS_4,TVR_NUM_V_CS_4,NUM_V_M_CS_4_14,TVR_NUM_V_M_CS_4_14,NUM_V_F_CS_4_14,TVR_NUM_V_F_CS_4_14,NUM_V_M_CS_15_24,TVR_NUM_V_M_CS_15_24,NUM_V_F_CS_15_24,TVR_NUM_V_F_CS_15_24,NUM_V_M_CS_25_34,TVR_NUM_V_M_CS_25_34,NUM_V_F_CS_25_34,TVR_NUM_V_F_CS_25_34,NUM_V_M_CS_35_44,TVR_NUM_V_M_CS_35_44,NUM_V_F_CS_35_44,TVR_NUM_V_F_CS_35_44,NUM_V_M_CS_45_54,TVR_NUM_V_M_CS_45_54,NUM_V_F_CS_45_54,TVR_NUM_V_F_CS_45_54,NUM_V_M_CS_55,TVR_NUM_V_M_CS_55,NUM_V_F_CS_55,TVR_NUM_V_F_CS_55,NUM_V_CS_ANALOG,TVR_NUM_V_CS_ANALOG,NUM_V_CS_DIGITAL,TVR_NUM_V_CS_DIGITAL,NUM_V_S_SEC_A,TVR_NUM_V_CS_SEC_A,NUM_V_S_SEC_B,TVR_NUM_V_CS_SEC_B,NUM_V_S_SEC_C,TVR_NUM_V_CS_SEC_C,NUM_V_S_SEC_DE,TVR_NUM_V_CS_SEC_DE
17, Kerala 1 Mn.+ ,20141228,20150103,1,126,3175.993998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3121.311475,10,2800,53,3267.522935,73,3108.745247,22,2717.647058,25,3111.111111,28,3084.590163,51,3525.925925
18, MAH .1 to 1 Mn. ,20141228,20150103,1,1142,3834.435894,134,3539.622641,155,4166.4,133,3648,117,4353.488372,119,3702.222222,109,3972.234273,72,3170.642201,78,4375.292153,61,3949.132947,44,4348.235294,57,3432.258064,62,3622.956521,371,3571.805157,771,3975.080558,124,3272.898664,288,3815.77287,305,4157.403651,424,3816.340744
19, MAHA L C I ,20141228,20150103,1,995,3591.363196,120,3343.283582,90,2994.059405,120,3862.068965,114,3762.671905,96,3125.581395,95,3813.620071,69,3806.896551,76,4576.344086,60,3825.426944,60,4217.573221,52,3446.153846,43,2991.304347,573,3544.982507,422,3656.317689,92,3619.672131,216,3632.432432,280,3597.705544,407,3559.396147
20, MAHrest 1 Mn.+ (Including Pune) ,20141228,20150103,1,1098,4105.586467,117,4268.403908,123,4120.438683,134,3786.711522,115,4545.882352,111,3817.400204,109,4532.673267,68,3615.189873,89,4551.598173,58,3371.626297,66,4728.358208,62,4304.132231,46,3697.607655,0,0,1098,4105.586467,248,4306.356589,211,3978.451178,262,3881.481481,378,4232.18927
21, MP .1 to 1 Mn. ,20141228,20150103,1,551,3631.541781,101,4205.20446,87,4462.900763,63,3297.196261,58,4068.475991,29,2325.536992,61,4324.050632,33,3195.389048,29,3430.985915,0,0,0,0,0,0,23,2916.226415,367,3717.576123,184,3471.308253,67,3590.430622,96,3321.936148,61,3119.634703,327,3866.009852
22, MP 1 Mn.+ ,20141228,20150103,1,533,3999.285395,84,4322.205206,0,0,61,3608.450704,68,4524.356435,47,3948,37,3204.123711,0,0,42,4783.728813,31,3327.795527,0,0,0,0,0,0,0,0,533,3999.285395,97,3733.333333,102,3447.887323,120,4114.285714,215,4429.184549
23, Orissa .1 to 1 Mn. ,20141228,20150103,1,388,4111.258278,0,0,0,0,54,4104.977375,34,4200,40,3652.173913,35,4013.651877,24,3682.19178,36,5600,0,0,0,0,0,0,0,0,238,3603.785488,150,5294.117647,108,4622.675159,84,4072.727272,85,4340.425531,111,3606.963249
24, PHCHP .1 to 1Mn. (Including PCHP .1 to 1 Mn.) ,20141228,20150103,1,993,3705.553087,142,3658.895705,117,4427.027027,106,3194.260089,104,3900,80,3207.637231,72,3470.875179,73,4395.698924,70,4339.483394,61,3546.020761,53,3656.673511,63,3539.799331,53,3533.333333,284,3218.347386,709,3944.759066,154,3870.157068,250,3533.866217,213,3532.477788,376,3870.588235
25, PHCHP 1 Mn.+ (Including Punjab 1Mn.+) ,20141228,20150103,1,553,3778.889566,73,3416.155988,64,3833.15508,65,3339.449541,64,4664.642082,44,3186.206896,46,3873.68421,26,3640,34,4840.677966,41,3981.50289,32,4283.665338,33,3261.17647,31,4217.004048,0,0,553,3778.889566,129,3795.446584,172,3799.605522,136,3885.714285,116,3618.941504
26, Rajasthan .1 to 1 Mn. ,20141228,20150103,1,556,3367.267483,63,3015.384615,70,3312.676056,62,3280.629921,63,3898.342541,54,4133.029612,43,3594.02985,42,3450.366748,48,3682.19178,37,3572.413793,35,3015.384615,25,2608.695652,15,2400,322,3374.672489,234,3358.564715,113,3284.429065,101,3301.167315,150,3398.51652,193,3447.52791
