RCLNT,RYEAR,DOCNR,RLDNR,RBUKRS,DOCLN,ACTIV,RMVCT,RTCUR,RUNIT,AWTYP,RRCTY,RVERS,LOGSYS,RACCT,COST_ELEM,RCNTR,PRCTR,RFAREA,RBUSA,KOKRS,SEGMENT,ZZZONE,SCNTR,PPRCTR,SFAREA,SBUSA,RASSC,PSEGMENT,TSL,HSL,KSL,OSL,MSL,WSL,DRCRK,POPER,RWCUR,GJAHR,BUDAT,BELNR,BUZEI,BSCHL,BSTAT,LINETYPE,XSPLITMOD,USNAM,KUNNR
300,2014,200000940,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225002,,,20002M01,,1000,1000,,,,,,,,,-3900,-3900,-235755,0,0,-3900,H,9,USD,2014,00:00.0,200000940,3,17,,2000,X,20100028,1700403
300,2014,200000940,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225002,,,20002M02,,1000,1000,,,,,,,,,-1062.47,-1062.47,-64226.31,0,0,-1062.47,H,9,USD,2014,00:00.0,200000940,3,17,,2000,X,20100028,1700403
300,2014,200000941,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225010,,,20004M01,,1000,1000,,,,,,,,,0,0,21033,0,0,0,S,9,USD,2014,00:00.0,200000941,2,7,,2000,X,20000003,1301521
300,2014,200000941,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225010,,,20004M16,,1000,1000,,,,,,,,,-11250,-11250,-718312.5,0,0,-11250,H,9,USD,2014,00:00.0,200000941,2,17,,2000,X,20000003,1301521
300,2014,200000942,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225010,,,20004M16,,1000,1000,,,,,,,,,-13500,-13500,-837450,0,0,-13500,H,9,USD,2014,00:00.0,200000942,2,17,,2000,X,20000003,1301535
300,2014,200000943,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225002,,,20002M01,,1000,1000,,,,,,,,,-41569.5,-41569.5,-2654212.58,0,0,-41569.5,H,9,USD,2014,00:00.0,200000943,1,17,,2000,X,20100028,1301900
300,2014,200000943,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225002,,,20002M01,,1000,1000,,,,,,,,,41569.5,41569.5,2566916.63,0,0,41569.5,S,9,USD,2014,00:00.0,200000943,2,7,,2000,X,20100028,1301900
300,2014,200000944,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225002,,,20002M01,,1000,1000,,,,,,,,,-818,-818,-51503.5,0,0,-818,H,9,USD,2014,00:00.0,200000944,3,17,,2000,X,20100028,1700525
300,2014,200000945,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225023,,,20002M05,,1000,1000,,,,,,,,,-2092,-2092,-133574.2,0,0,-2092,H,9,USD,2014,00:00.0,200000945,1,17,,2000,X,20100028,1700394
300,2014,200000945,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225023,,,20002M05,,1000,1000,,,,,,,,,-357,-357,-26440.65,0,0,-357,H,9,USD,2014,00:00.0,200000945,3,17,,2000,X,20100028,1700394
300,2014,200000946,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,-7853.38,-7853.38,-501438.31,0,0,-7853.38,H,9,USD,2014,00:00.0,200000946,1,17,,2000,X,20100028,1700096
300,2014,200000946,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,-44001.47,-44001.47,-2720291.84,0,0,-44001.47,H,9,USD,2014,00:00.0,200000946,3,17,,2000,X,20100028,1700096
300,2014,200000946,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,30574.06,30574.06,1887948.21,0,0,30574.06,S,9,USD,2014,00:00.0,200000946,4,7,,2000,X,20100028,1700096
